question,output
create an button in HTML,Use <button> I'm the button</button> to create button
how to prevent xss attack though sanitization,"// Malicious input
let untrustedInput = ""<img src=x onerror=alert('XSS')>"";

// Sanitized input
let cleanInput = DOMPurify.sanitize(untrustedInput);

// Result: <img src=""x""> (onerror is removed)
document.getElementById('content').innerHTML = cleanInput;"
Who is Zheng Xian,Zheng Xian is Help University Student
What is phishing,"Phishing is a social engineering attack where attackers impersonate legitimate entities (banks, companies, government agencies) via fake websites, emails, or messages to trick users into revealing sensitive information such as passwords, credit card numbers, or personal data."
How to identify a phishing URL,"Look for these red flags: 1) Misspelled domain names (e.g., g00gle.com instead of google.com). 2) Suspicious TLDs (.xyz, .top, .buzz). 3) Excessive subdomains (e.g., login.secure.bank.evil.com). 4) IP addresses instead of domain names. 5) HTTP instead of HTTPS. 6) URL shorteners hiding the real destination. 7) Special characters or encoded characters in the URL."
What is SSL/TLS and why is it important,"SSL (Secure Sockets Layer) and TLS (Transport Layer Security) are cryptographic protocols that encrypt data transmitted between a web browser and a server. HTTPS websites use SSL/TLS certificates to ensure: 1) Data encryption - prevents eavesdropping. 2) Data integrity - prevents tampering. 3) Authentication - verifies the server identity. Always check for the padlock icon and HTTPS in the address bar before entering sensitive information."
What are HTTP security headers,"HTTP security headers are response headers that instruct the browser to enable security features. Key headers include: 1) Content-Security-Policy (CSP) - prevents XSS by controlling allowed content sources. 2) X-Frame-Options - prevents clickjacking by blocking iframe embedding. 3) Strict-Transport-Security (HSTS) - forces HTTPS connections. 4) X-Content-Type-Options - prevents MIME-type sniffing. 5) X-XSS-Protection - enables browser XSS filtering. 6) Referrer-Policy - controls referrer information sharing."
What is Cross-Site Scripting (XSS),"XSS is a vulnerability where attackers inject malicious scripts into web pages viewed by other users. Three types: 1) Stored XSS - malicious script is permanently stored on the server (e.g., in a database). 2) Reflected XSS - script is reflected off a web server via URL parameters or form inputs. 3) DOM-based XSS - vulnerability exists in client-side JavaScript code. Prevention: sanitize user inputs, use Content-Security-Policy headers, encode output, and use frameworks that auto-escape HTML."
What is CSRF and how to prevent it,"CSRF (Cross-Site Request Forgery) tricks authenticated users into performing unwanted actions on a trusted site. For example, a malicious page could submit a hidden form to transfer money from your bank. Prevention methods: 1) CSRF tokens - unique tokens validated on each request. 2) SameSite cookie attribute - restricts cross-origin cookie sending. 3) Check Origin/Referer headers. 4) Require re-authentication for sensitive actions."
What are cookie security attributes,"Cookie security attributes control how cookies are transmitted and accessed: 1) HttpOnly - prevents JavaScript access (mitigates XSS cookie theft). 2) Secure - only sent over HTTPS connections. 3) SameSite=Strict - cookie only sent in first-party context. 4) SameSite=Lax - sent with top-level navigations and GET requests. 5) SameSite=None - sent in all contexts (requires Secure flag). 6) Path - restricts cookie to specific URL paths. 7) Domain - specifies which domains can receive the cookie."
What is SQL injection,"SQL injection is a code injection technique where attackers insert malicious SQL statements into application queries through user input fields. This can lead to: 1) Unauthorized data access. 2) Data modification or deletion. 3) Authentication bypass. 4) Remote command execution. Prevention: use parameterized queries/prepared statements, input validation, stored procedures, least privilege database accounts, and Web Application Firewalls (WAF)."
What is clickjacking,"Clickjacking (UI Redressing) is an attack where a transparent or disguised malicious layer is placed over a legitimate web page, tricking users into clicking on something different from what they perceive. For example, a user thinks they are clicking a Play button but actually clicks a hidden Like or Share button. Prevention: use X-Frame-Options header (DENY or SAMEORIGIN), Content-Security-Policy frame-ancestors directive, and frame-busting JavaScript."
How to audit a website for security,"A website security audit involves: 1) SSL/TLS check - verify certificate validity, protocol version, cipher strength. 2) HTTP headers review - check for security headers (CSP, HSTS, X-Frame-Options). 3) Cookie analysis - verify HttpOnly, Secure, SameSite attributes. 4) Input validation testing - test forms for XSS, SQL injection. 5) Authentication review - check password policies, session management. 6) Third-party script analysis - review external scripts for vulnerabilities. 7) DNS and WHOIS lookup - check domain age, registrar, nameservers. 8) Port scanning - identify open ports and services."
What is Content Security Policy (CSP),"CSP is an HTTP response header that controls which resources the browser is allowed to load for a page. It helps prevent XSS, clickjacking, and data injection attacks. Example: Content-Security-Policy: default-src 'self'; script-src 'self' cdn.example.com; style-src 'self' 'unsafe-inline'; img-src *; This policy allows scripts only from the same origin and cdn.example.com, styles from same origin with inline styles, and images from any source."
What is Man-in-the-Middle (MITM) attack,"MITM is an attack where the attacker secretly intercepts and potentially alters communications between two parties. Common types: 1) Wi-Fi eavesdropping on public networks. 2) SSL stripping - downgrading HTTPS to HTTP. 3) ARP spoofing on local networks. 4) DNS spoofing redirecting to fake sites. Prevention: always use HTTPS, enable HSTS, use VPN on public Wi-Fi, verify SSL certificates, avoid ignoring browser security warnings."
What is domain spoofing,"Domain spoofing is when attackers create fake domains that closely resemble legitimate ones to deceive users. Techniques include: 1) Typosquatting - registering misspelled domains (e.g., amazom.com). 2) Homograph attacks - using lookalike Unicode characters (e.g., using Cyrillic 'a' instead of Latin 'a'). 3) Subdomain abuse - using legitimate names as subdomains (e.g., paypal.secure-login.evil.com). 4) TLD variations - using different extensions (e.g., company.net vs company.com). Always verify the full URL and domain before entering credentials."
What is a Web Application Firewall (WAF),"A WAF is a security solution that monitors, filters, and blocks HTTP/HTTPS traffic to and from a web application. It protects against: 1) SQL injection. 2) XSS attacks. 3) CSRF. 4) File inclusion attacks. 5) DDoS attacks. Popular WAF solutions include Cloudflare WAF, AWS WAF, and ModSecurity. WAFs use rule-based, signature-based, and behavior-based detection to identify and block malicious requests."
What is HTTPS and how does it protect users,"HTTPS (HyperText Transfer Protocol Secure) is the secure version of HTTP that encrypts all communication between the browser and server using TLS/SSL. It protects users by: 1) Encrypting data in transit - prevents eavesdropping on sensitive data. 2) Authenticating the server - ensures you are connecting to the real website. 3) Ensuring data integrity - prevents data modification during transmission. Websites without HTTPS should never be trusted with login credentials or payment information."
How does federated learning improve phishing detection,"Federated learning (FL) allows the phishing detection model to improve without collecting user data centrally. When users report misclassified URLs: 1) Reports are stored locally on the user's device. 2) A local model update is trained using LoRA adapters. 3) Only the model weight updates (not user data) are shared with the server. 4) The server aggregates updates from multiple users using FedAvg. 5) The improved global model is distributed back. This preserves user privacy while continuously improving detection accuracy."
What is session hijacking,"Session hijacking is when an attacker takes over a user's active web session by stealing or predicting the session token. Methods include: 1) Session sidejacking - sniffing unencrypted session cookies on public Wi-Fi. 2) XSS-based theft - stealing cookies via injected scripts. 3) Session fixation - forcing a known session ID on the user. Prevention: use HTTPS everywhere, set HttpOnly and Secure cookie flags, regenerate session IDs after login, implement session timeouts, and use SameSite cookie attribute."
